"CID","HBondAcceptorCount","HBondDonorCount","IsomericSMILES","MolecularWeight","XLogP","drug_class","desalted_SMILES"
"9794292","1","2","C#CCN[C@@H]1CCC2=CC=CC=C12.Cl","207.701","NA","cns","C#CCN[C@@H]1CCc2ccccc21"
"5289310","1","1","C#CCN[C@H]1CCC2=CC=CC=C12","171.243","1.8","cns","C#CCN[C@H]1CCc2ccccc21"
"9904788","2","0","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CC#C","310.437","2.8","antineoplastic","C#CC[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12"
"25058197","1","1","C[C@H](CC1=CC=CC=C1)[NH+](C)CC#C.[Cl-]","223.744","NA","cns","C#CC[NH+](C)[C@H](C)Cc1ccccc1"
"62929","2","1","CC[C@@]12CC[C@@H]3[C@@H]([C@H]1CC[C@@]2(C#C)O)CCC4=CC(=O)CC[C@@H]34","312.453","3.3","reproductivecontrol","C#C[C@@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@H]4[C@@H]3CC[C@]21CC"
"63021","3","0","CC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C","340.463","3.5","reproductivecontrol","C#C[C@@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C"
"57358455","8","5","CC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C.C[C@]12CC[C@H]3[C@@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.C[C@]12CC[C@H]3[C@@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O","901.238","NA","reproductivecontrol","C#C[C@@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C.C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O.C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1C[C@@H](O)[C@@H]2O"
"60957","5","4","CCOC(=O)C[C@@H](C#C)NC(=O)CCC(=O)NC1=CC=C(C=C1)C(=N)N","358.398","-0.4","hematologic","C#C[C@H](CC(=O)OCC)NC(=O)CCC(=O)Nc1ccc(C(=N)N)cc1"
"65019","2","2","C[C@H](CC[C@H](C#C)N)N","126.203","-0.4","antineoplastic","C#C[C@H](N)CC[C@@H](C)N"
"82151","4","1","CC(=O)[C@H]1CC[C@@H]2[C@H]3CC[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C#C)C(=O)C)C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC","662.955","NA","reproductivecontrol","C#C[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](C(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C.C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C"
"6483431","8","3","C#C[C@]1([C@H](C[C@@H](O1)N2C=NC3=C2N=C(N=C3N)F)O)CO","293.258","-0.6","antiinfective","C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O"
"3033968","2","1","CC[C@]12CC[C@H]3[C@H]([C@@H]1C=C[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34","310.437","2.9","reproductivecontrol","C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC"
"67387","4","3","CC[C@]12CC[C@H]3[C@H]([C@@H]1C=C[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O","606.847","NA","reproductivecontrol","C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC.C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C"
"60148395","2","1","CCC12CCC3[C@H]4CCC(=O)C=C4CCC3C1CC[C@]2(C#C)O","312.453","3.3","reproductivecontrol","C#C[C@]1(O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CCC21CC"
"5702096","2","1","CC[C@]12CCC3[C@H]4CCC(=O)C=C4CCC3C1CC[C@]2(C#C)O","312.453","3.3","reproductivecontrol","C#C[C@]1(O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21CC"
"46782588","2","1","CC[C@]12CCC3[C@H](C1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34","312.453","3.3","reproductivecontrol","C#C[C@]1(O)CCC2[C@@H]3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21CC"
"126968545","2","1","CC[C@]12CCC3[C@@H](C1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34","312.453","3.3","reproductivecontrol","C#C[C@]1(O)CCC2[C@H]3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21CC"
"6231","2","1","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4","298.426","2.1","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C"
"66444","4","2","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC","608.863","NA","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C.C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C"
"9568628","3","2","CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C/C(=N/O)/CC[C@H]34","327.468","3.6","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC"
"6537152","3","2","CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C/C(=N\O)/CC[C@H]34","327.468","3.6","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N\O)CC[C@@H]4[C@H]3CC[C@@]21CC"
"91758695","5","4","CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C/C(=N\O)/CC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O","623.878","NA","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N\O)CC[C@@H]4[C@H]3CC[C@@]21CC.C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C"
"62930","3","2","CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=NO)CC[C@H]34","327.468","3.6","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC"
"13313","2","1","C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(C#C)O","294.394","1.8","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C"
"27812","2","1","CC[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(C#C)O","308.421","2.2","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC"
"12598310","2","1","CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CCC34","312.453","3.3","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4[C@H]3CC[C@@]21CC"
"6917715","2","1","CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34","324.464","3.3","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC"
"6230","2","1","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34","298.426","3.0","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C"
"62925","4","3","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O","594.836","NA","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C.C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C"
"63022","4","2","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC","608.863","NA","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C.C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C"
"13109","2","1","CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34","312.453","3.3","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC"
"9852801","5","2","CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C.CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34","668.959","NA","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC.CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C"
"40973","1","1","CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34","310.481","4.9","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC"
"62957","3","3","CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O","606.891","NA","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC.C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C"
"5857","1","1","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34","284.443","4.5","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C"
"82149","2","2","CCC1=CC2=C(C=C1)[C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@]4(C#C)O)C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34","592.908","NA","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C.C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(CC)ccc4[C@H]3CC[C@@]21C"
"164779","2","2","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CC[C@@H]4[C@@]3(C[C@](C4)(C#C)O)C","326.48","3.6","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4C[C@](O)(C#C)C[C@]4(C)[C@H]3CC[C@@]21C"
"9571023","6","3","CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)OC(=O)C)CCC4=C/C(=N/O)/CC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O","665.915","NA","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C.C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC"
"66466","6","2","CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C#C)OC(=O)C)C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O","680.926","NA","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C.C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C"
"147740","5","2","C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7)C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O","662.911","NA","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C.C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C"
"72720474","7","1","CC(C)S(=O)(=O)OC1=CC2=C(C=C1)[C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@]4(C#C)O)C.CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C","743.012","NA","reproductivecontrol","C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)C(C)C)ccc4[C@H]3CC[C@@]21C.C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C"
"119043","2","2","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CC[C@@H]4[C@@]3(C[C@@](C4)(C#C)O)C","326.48","3.6","reproductivecontrol","C#C[C@]1(O)C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3CC[C@@]4(O)C#C)[C@@]2(C)C1"
"229295","3","0","CCCCCCC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C","410.598","6.0","reproductivecontrol","C#C[C@]1(OC(=O)CCCCCC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C"
"44656683","3","0","CC(=O)O[C@]1(CCC2C1(CCC3C2CCC4=CC(=O)CC[C@H]34)C)C#C","340.463","3.5","reproductivecontrol","C#C[C@]1(OC(C)=O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CCC21C"
"5702094","3","0","CC(=O)O[C@]1(CCC2[C@@]1(CCC3C2CCC4=CC(=O)CC[C@H]34)C)C#C","340.463","3.5","reproductivecontrol","C#C[C@]1(OC(C)=O)CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C"
"6540478","4","1","CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)OC(=O)C)CCC4=C/C(=N/O)/CC[C@H]34","369.505","4.1","reproductivecontrol","C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC"
"117072398","3","0","CC(=O)O[C@]1(CC[C@@H]2C1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C","340.463","3.5","reproductivecontrol","C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CCC21C"
"5832","3","0","CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C","340.463","3.5","reproductivecontrol","C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C"
"123634","8","5","CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O","901.238","NA","reproductivecontrol","C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C.C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O.C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O"
"9270","4","0","CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C#C)OC(=O)C)C","384.516","3.9","reproductivecontrol","C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C"
"176871","7","2","COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC.Cl","429.901","NA","antineoplastic","C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1"
"656736","1","0","C1CCCN(CC1)CC#CCC2(C3=CC=CC=C3C4=CC=CC=C42)CC5=CC=CC=C5","405.585","7.1","cardio","C(#CCC1(Cc2ccccc2)c2ccccc2-c2ccccc21)CN1CCCCCC1"
"1547484","2","0","C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4","368.524","5.8","cardio","C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1"
"6917792","4","6","C1NC(=NC1)N/N=C/C2=C3C(=C(C4=CC=CC=C24)/C=N/NC5=NCCN5)C=CC=C3.Cl.Cl","471.39","NA","antineoplastic","C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12"
"51323","4","4","C1CN=C(N1)NN=CC2=C3C=CC=CC3=C(C4=CC=CC=C42)C=NNC5=NCCN5","398.474","1.9","antineoplastic","C(=NNC1=NCCN1)c1c2ccccc2c(C=NNC2=NCCN2)c2ccccc12"
"5477614","4","4","C1NC(=NC1)N/N=C\C2=C3C(=C(C4=CC=CC=C24)/C=N\NC5=NCCN5)C=CC=C3","398.474","1.9","antineoplastic","C(=N\NC1=NCCN1)\c1c2ccccc2c(/C=N\NC2=NCCN2)c2ccccc12"
"16058","6","0","C1C(O1)COCCOCCOCCOCC2CO2","262.302","-1.0","antineoplastic","C(COCCOCC1CO1)OCCOCC1CO1"
"3036590","6","1","C/C(=C(\C1=C(C=C(C=C1)Cl)Cl)/OCCOC2=CC=C(C=C2)Cl)/N3C=CN=C3.[N+](=O)(O)[O-]","486.73","NA","antiinfective","C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1"
"643798","4","2","C/C(=C/C(=O)O)/C(=O)O","130.099","-0.1","dermatologic","C/C(=C/C(=O)O)C(=O)O"
"638129","4","2","C/C(=C\C(=O)O)/C(=O)O","130.099","-0.1","dermatologic","C/C(=C\C(=O)O)C(=O)O"
"446596","9","4","C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C(=O)OCCCCCCCCC(=O)O)/C)[C@H](C)O","500.629","3.0","antiinfective","C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O"
"5950212","6","4","C/C(=C\C(C(=O)O)N)/CP(=O)(O)O","209.138","-4.1","cns","C/C(=C\C(N)C(=O)O)CP(=O)(O)O"
"6434242","5","2","CC1=C(C(=C(C(=C1Cl)O)C/C=C(\C)/CC/C=C(\C)/[C@@H]2CC(=O)C(O2)(C)C)O)C=O","420.93","5.5","antiinfective","C/C(=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O)CC/C=C(\C)[C@@H]1CC(=O)C(C)(C)O1"
"6604869","6","4","C/C(=C\[C@H](C(=O)O)N)/CP(=O)(O)O","209.138","-4.1","cns","C/C(=C\[C@@H](N)C(=O)O)CP(=O)(O)O"
"5289501","2","1","C/C(=C\C1=CC=C(C=C1)C(=O)O)/C2=CC3=C(C=C2)C(CCC3(C)C)(C)C","348.486","7.5","antineoplastic","C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C"
"5467732","3","0","C/C(=C\C1=CC=C(C=C1)OCCN2CCOCC2)/C3=CC4=C(C=C3)C(CCC4(C)C)(C)C","433.636","7.6","antineoplastic","C/C(=C\c1ccc(OCCN2CCOCC2)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C"
"448799","8","2","C[C@H]1CCC[C@@H]2[C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C","493.659","4.0","antineoplastic","C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1"
