image_name,tags,smiles,Col3
pics/16,antineoplastic,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](OC(N)=O)[C@@H]1O)c1cnc[nH]1,['antineoplastic']
pics/17,lipidregulating,Cc1cnc(C(=O)O)c[n+]1[O-],['lipidregulating']
pics/18,cns,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1.CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,['cns']
pics/19,hematologic,COc1cc2c(cc1OC)-c1cc(=Nc3c(C)cc(C)cc3C)n(C)c(=O)n1CC2,['hematologic']
pics/20,lipidregulating,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1OP(=O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O,['lipidregulating']
pics/21,antiinflammatory,CC1(C)C(O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,['antiinflammatory']
pics/22,hematologic cardio,NC(=O)C1CN(CCCCC(c2ccc(F)cc2)c2ccc(F)cc2)CCN1CC(=O)Nc1c(Cl)cc(N)cc1Cl,"['hematologic', 'cardio']"
pics/23,cardio,CCN(CC)CCCCCCCCOC(=O)c1cc(OC)c(OC)c(OC)c1,['cardio']
pics/24,gastrointestinal,C[S+](C)CCC(=O)[O-],['gastrointestinal']
pics/25,hematologic,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,['hematologic']
pics/26,cardio,N#Cc1ccccc1OCC(O)CNCCNC(=O)Cc1ccc(O)cc1,['cardio']
pics/27,cns,Clc1ccc2c(c1)NC(N1CCNCC1)=c1ccccc1=N2,['cns']
pics/28,cardio,Nc1nc(Nc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,['cardio']
pics/29,antiinfective antineoplastic,COC1[C@@H](C)/C=C(\C)[C@H](OC(N)=O)C(OC)/C=C\C=C(/C)C(=O)NC2=CC(=O)C=C(C2=O)[C@H](OC)[C@@H](C)C[C@@H]1OC,"['antiinfective', 'antineoplastic']"
pics/30,antiinflammatory,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,['antiinflammatory']
pics/31,cns,CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,['cns']
pics/32,antineoplastic,O=C1CN(CCN2CC(=O)N(CN3CCOCC3)C(=O)C2)CC(=O)N1CN1CCOCC1,['antineoplastic']
pics/33,antineoplastic,Cn1ncnc1[C@H]1C2=c3c(cc(F)cc3=N[C@@H]1c1ccc(F)cc1)C(=O)NN2,['antineoplastic']
pics/34,antiinfective,CC(C)C[C@H](NC(=O)[C@@H]1O[C@H]1C(=O)O)C(=O)NCCCCN=C(N)N,['antiinfective']
pics/35,cns,COC(=O)C(c1ccccc1)C1CCCCN1,['cns']
pics/36,antiinfective,CCCCCCOC(=O)C1(O)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,['antiinfective']
pics/37,hematologic,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-]C([C@H](CC(N)=O)[C@@]4(C)CCC(=O)NCC(C)OP(=O)([O-])OC4C(O)[C@@H](n5cnc6cc(C)c(C)cc65)O[C@@H]4CO)[C@]4(C)N=C1[C@@H](CCC(N)=O)[C@]4(C)CC(N)=O)[C@@H](CCC(N)=O)C3(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.[Co+2],['hematologic']
pics/38,antiinfective,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)OC([C@H]2C)[C@]1(C)O,['antiinfective']
pics/39,antineoplastic,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,['antineoplastic']
pics/40,antiinfective,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)/C=C/C(C)=C/C1COC1OC(C)C(O)C(OC)C1OC,['antiinfective']
pics/41,cardio,[2H]C([2H])([2H])C([2H])([2H])C(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)[O-])C(C)C,['cardio']
pics/42,antiinfective,CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](OC3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,['antiinfective']
pics/43,cardio,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,['cardio']
pics/44,cns,CCC[C@@](C)(O)[C@H]1C[C@]23C=C[C@@]1(OC)[C@@H]1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5,['cns']
pics/45,hematologic cardio,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2c3cccc(CCCC(=O)O)c3O[C@H]2C[C@H]1O,"['hematologic', 'cardio']"
pics/46,antiinflammatory,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,['antiinflammatory']
pics/47,antiinfective antineoplastic,Nc1ccn([C@@H]2CO[C@@H](CO)O2)c(=O)n1,"['antiinfective', 'antineoplastic']"
pics/48,antiinfective,CC1(C)SC2[C@H](NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)[O-],['antiinfective']
pics/49,cardio,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,['cardio']
pics/50,antiinfective,CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=C(Oc3cc(N5CCN(CC(C)C)CC5)cc(O)c3N2)C(=NC(=O)/C(C)=C\C=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,['antiinfective']
pics/51,antiinfective,CN=C(N)NCCCCCCN=C(C)N,['antiinfective']
pics/52,cardio,OC(CNC[C@H](O)[C@@H]1CCc2cc(F)ccc2O1)[C@H]1CCc2cc(F)ccc2O1,['cardio']
pics/53,antiinfective,CC1(C)SC2C(OS(=O)(=O)C(F)(F)F)C(=O)N2C1C(=O)O,['antiinfective']
pics/54,respiratorysystem,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,['respiratorysystem']
pics/55,respiratorysystem,CN1[C@H](C[C@@H](O)c2ccccc2)CCC[C@@H]1CC(=O)c1ccccc1,['respiratorysystem']
pics/56,cns,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1,['cns']
pics/57,cns,CCCCOc1cc(C(=O)OCC[NH+](CC)CC)ccc1N,['cns']
pics/58,antiinfective antineoplastic,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,"['antiinfective', 'antineoplastic']"
pics/59,respiratorysystem,CC(C)[N+]1(C)C2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2,['respiratorysystem']
pics/60,cns,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)CCS(C)=O,['cns']
pics/61,cns,Cc1cc(C(=O)NNCc2ccccc2)no1,['cns']
pics/62,antiinfective,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1,['antiinfective']
pics/63,dermatologic antiinfective antineoplastic,COc1c(O)c2c(=O)cc(OC)c3c4c(OC)cc(=O)c5c(O)c(OC)c6c(c(c1C[C@](C)(O)[C@@H]6C(C)=O)c23)c54,"['dermatologic', 'antiinfective', 'antineoplastic']"
pics/64,antineoplastic,Cn1nnc2c(C(N)=O)ncn2c1=O,['antineoplastic']
pics/65,hematologic cardio,CCCCC[C@@H](O)/C=C/[C@@H]1CC2CC(C2)[C@H]1C/C=C\CCCC(=O)O,"['hematologic', 'cardio']"
pics/66,cardio,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,['cardio']
pics/67,antiinfective antineoplastic antiinflammatory,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=C[C@]35OC[C@@]6(CCC(C)(C)C[C@H]63)[C@H](O)C[C@]54C)[C@]2(C)CO)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,"['antiinfective', 'antineoplastic', 'antiinflammatory']"
pics/68,antiinfective antineoplastic,O=C([O-])C[C@H](NC(=O)CP(=O)([O-])[O-])C(=O)[O-],"['antiinfective', 'antineoplastic']"
pics/69,cardio,NC(N)=N/N=C/c1c(Cl)cccc1Cl,['cardio']
pics/70,antiinflammatory,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12,['antiinflammatory']
pics/71,gastrointestinal,O=CC(O)C(O)C(O)CO,['gastrointestinal']
pics/72,gastrointestinal lipidregulating,COc1cc(/C=C/C(=O)O[C@H]2CC[C@]34CC35CC[C@]3(C)[C@@H](C(C)CCC=C(C)C)CC[C@@]3(C)C5CCC4C2(C)C)ccc1O,"['gastrointestinal', 'lipidregulating']"
pics/73,cns,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,['cns']
pics/74,antiinflammatory,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(O)C[C@@]21C,['antiinflammatory']
pics/75,antineoplastic,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,['antineoplastic']
pics/76,antiinflammatory,O=C(O)Cc1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1.O=C(O)Cc1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1,['antiinflammatory']
pics/77,antiinfective antineoplastic,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,"['antiinfective', 'antineoplastic']"
pics/78,antiinfective,O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,['antiinfective']
pics/79,antiinfective antineoplastic,CCCCCCCCCC(=O)NC(CN1CCOCC1)C(C)c1ccccc1,"['antiinfective', 'antineoplastic']"
pics/80,cns,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,['cns']
pics/81,hematologic cardio,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,"['hematologic', 'cardio']"
pics/82,cardio,CCCCON=O,['cardio']
pics/83,cns,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,['cns']
pics/84,antiinfective,C[C@H]1CCC2[C@H](C)[C@H](O)OC3OC4(C)CCC1[C@@]32OO4,['antiinfective']
pics/85,antiinflammatory,C=C1CC/C=C(/C)CC[C@@H]2[C@@H]1CC2(C)C,['antiinflammatory']
pics/86,cns,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,['cns']
pics/87,reproductivecontrol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,['reproductivecontrol']
pics/88,antiinfective,CC1(C)COCN1.CN1COCC1(C)C,['antiinfective']
pics/89,antineoplastic,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,['antineoplastic']
pics/90,antineoplastic,CO[C@H]1[C@H](OC(=O)c2ccc(C)[nH]2)[C@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4c[nH]c(C(=O)Nc5c(O)c6ccc(O[C@H]7OC(C)(C)[C@H](OC)[C@@H](OC(=O)c8ccc(C)[nH]8)[C@H]7O)c(C)c6oc5=O)c4C)c(=O)oc3c2C)OC1(C)C,['antineoplastic']
pics/91,antineoplastic,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5COC(c6cccs6)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,['antineoplastic']
pics/92,antineoplastic,COC(=O)C1c2cc3c(c(O)c2[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC)[C@@](C)(OC)[C@H]2OC)C[C@]1(C)O)C(=O)c1c(O)cc2c(c1C3=O)O[C@@H]1O[C@@]2(C)[C@H](O)[C@@H](N(C)C)[C@@H]1O,['antineoplastic']
pics/93,antiinfective,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](N=C(N)N)[C@@H](O)[C@H]3N=C(N)N)O[C@@H](C)C2(O)C=O)O[C@@H](CO)[C@H](O)[C@@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](N=C(N)N)[C@@H](O)[C@H]3N=C(N)N)O[C@@H](C)C2(O)C=O)O[C@@H](CO)[C@H](O)[C@@H]1O,['antiinfective']
pics/94,hematologic,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,['hematologic']
pics/95,cns,O=C1C=CCO1,['cns']
pics/96,antiinfective,CC(C)[C@H]1C(=O)OC[C@@H](NC(=O)c2cnc3ccccc3n2)C(=O)N[C@@H](C)C(=O)N(C)[C@H]2CSSC[C@@H](C(=O)N1C)N(C)C(=O)[C@H](C)NC(=O)[C@H](NC(=O)c1cnc3ccccc3n1)COC(=O)[C@H](C(C)C)N(C)C2=O,['antiinfective']
pics/97,antiinfective,Cc1ccc2ncccc2n1,['antiinfective']
pics/98,antineoplastic,O=C(O)C[C@@H]1C(=O)O[C@@H]2[C@H]3COC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)O[C@H]2[C@@H](OC(=O)c2cc(O)c(O)c4c2[C@H]1[C@H](O)C(=O)O4)[C@H](OC(=O)c1cc(O)c(O)c(O)c1)O3,['antineoplastic']
pics/99,lipidregulating cardio,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H](c4ccc5c(c4)OCO5)OC[C@@H]13)OCO2,"['lipidregulating', 'cardio']"
pics/100,cns,NC1=NC(=O)C(c2ccccc2)O1,['cns']
pics/101,antiinfective antineoplastic,CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@H](NCCCNCCCCN)C[C@@H]1C[C@H]3O)OS(=O)(=O)O,"['antiinfective', 'antineoplastic']"
pics/102,cns,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,['cns']
pics/103,antiinfective,CCC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@@H]2[C@@H](C)O[C@@H](O[C@@H]3[C@@H](OC)[C@H](OC(=O)CC)CC(=O)O[C@H](C)C/C=C/C=C/[C@H](O)[C@H](C)C[C@@H]3CC=O)[C@H](O)[C@H]2N(C)C)C[C@@]1(C)O,['antiinfective']
pics/104,gastrointestinal antiinfective antiinflammatory,CCCCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCCCC,"['gastrointestinal', 'antiinfective', 'antiinflammatory']"
pics/105,cardio,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1,['cardio']
pics/106,antineoplastic,Cc1c(O)ccc2c(O)c(NC(=O)OCc3ccccc3)c(=O)oc12,['antineoplastic']
pics/107,hematologic,BrCCCBr.CN(C)CCCCCCN(C)C,['hematologic']
pics/108,antiinfective,C/C1=C/[C@@H](O)CC(=O)Cc2nc(co2)C(=O)N2CCC=C2C(=O)O[C@H](C(C)C)[C@H](C)/C=C\C(=O)NC\C=C/1,['antiinfective']
pics/109,antiinfective,CN[C@@H]1[C@@H](O[C@H]2O[C@H](CO)[C@@H](N)[C@H](O)[C@H]2O)O[C@H]2C[C@@H](N)[C@@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)O[C@@H]2[C@@H]1O,['antiinfective']
pics/110,antiinfective,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)C=C(C)C=CCNC(=O)C=C[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12,['antiinfective']
pics/111,cns,C=C(C)[C@H]1[C@@H]2C(=O)O[C@H]1[C@H]1OC(=O)[C@@]34OC3C[C@]2(O)C14C.CC(C)(O)[C@H]1[C@@H]2C(=O)O[C@H]1[C@H]1OC(=O)[C@@]34O[C@@H]3CC2(O)[C@@]14C,['cns']
pics/112,gastrointestinal cns,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2.O=C(O)CC(O)C(=O)O.O=C(O)CC(O)C(=O)O,"['gastrointestinal', 'cns']"
pics/113,cns,CCCCc1cc2ccccc2c(OCCN(C)C)n1,['cns']
pics/114,antiinfective,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,['antiinfective']
pics/115,hematologic,COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2cc[n+]([O-])cc2)cc1,['hematologic']
pics/116,antiinfective,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)C(O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,['antiinfective']
pics/117,antineoplastic,CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC,['antineoplastic']
pics/118,cardio,O=C(CCCN1CCN(c2ccc(F)cc2)CC1)NC1c2ccccc2CSc2ccccc21,['cardio']
pics/119,antiinfective,C[C@@H]1C(=O)C[C@H]2C[C@@H]1OO[C@@]2(C)/C=C\c1ccc(C(F)(F)F)cc1C(F)(F)F,['antiinfective']
pics/120,antiinfective,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,['antiinfective']
pics/121,antineoplastic,CSC[S@](=O)C[C@H](CO)NC(=O)/C=C/c1c(C)[nH]c(=O)[nH]c1=O,['antineoplastic']
pics/122,antiinfective,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,['antiinfective']
pics/123,antiinfective,CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC1=O)[C@@H](C)O,['antiinfective']
pics/124,urological,O=C(O)CCC(=O)O.O=C(OC1CN2CCC1CC2)N1CCc2ccccc2C1c1ccccc1,['urological']
pics/125,hematologic,N=C(N)c1ccc(C[C@H](NC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCC2)cc1,['hematologic']
pics/126,antiinflammatory,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,['antiinflammatory']
pics/127,antiinflammatory,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,['antiinflammatory']
pics/128,antiinfective,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,['antiinfective']
pics/129,lipidregulating,CCC(CC[C@@H](C)[C@H]1CCC2C3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,['lipidregulating']
pics/130,antineoplastic,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,['antineoplastic']
pics/131,gastrointestinal,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,['gastrointestinal']
pics/132,gastrointestinal,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,['gastrointestinal']
pics/133,antineoplastic,CCOc1cc2c3cc(OC)c(OC)cc3c[n+](C)c2c2cc(OC)c(OC)cc12,['antineoplastic']
pics/134,antiinfective,CO[C@H]1C[C@H](O[C@H]2[C@H](C)OC(O[C@@H]3/C(C)=C\CC4CC(CC5(CC[C@H](C)CO5)O4)OC(=O)C4C=C(C)[C@@H](O)C5OC/C(=C/C=C\C3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,['antiinfective']
pics/135,cardio,O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3OC(CO)[C@@H](O)[C@H](O)C3O)c(O)ccc12,['cardio']
pics/136,antiinfective,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,['antiinfective']
pics/137,cns,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,['cns']
pics/138,antineoplastic reproductivecontrol,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,"['antineoplastic', 'reproductivecontrol']"
pics/139,antiinfective,O=C1C(=O)c2ccccc2C(O)=C1C1CCCCC1,['antiinfective']
pics/140,cardio,CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)C(c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1.CCO,['cardio']
pics/141,antiinflammatory,CC(=O)Nc1ccc(O)cc1.CC(=O)Oc1ccccc1C(=O)O.Cn1c(=O)c2c(ncn2C)n(C)c1=O,['antiinflammatory']
pics/142,antiinfective,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,['antiinfective']
pics/143,hematologic cardio,CC/C(=C\C(=NO)C(N)=O)C(C)[N+](=O)[O-],"['hematologic', 'cardio']"
pics/144,respiratorysystem,CC(=O)N[C@H]1[C@H](NC(=O)C[C@H](N)C(=O)N[C@H]2CC(=O)NC[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC2=O)O[C@H](CO)[C@@H](O)[C@@H]1O,['respiratorysystem']
pics/145,antiinflammatory,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1,['antiinflammatory']
